id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
A01_26,-2.5991695,-11.297706,-11.09654,-11.279175,-2.36628,-0.427643,-1.740937,-9.208858,-1.7053695,-2.144504,-2.09258,-0.5432735,-1.026995,0.756475,-0.62024,-1.446403,-7.6767,-0.2165115,4.46399,1.511745,-0.462396,0.66993,-1.0128475,1.3670075,-2.891221,-2.385992,-3.826772,-0.600395,-1.8762305,1.13406,-1.00527,43.485,-0.84153645,-0.59005,56.91,-0.133631,57.95,57.425,3.52731,0.33291
A01_27,-1.244869,9.3719115,1.707505,-10.696205,-3.15321,1.924594,-0.722732,-3.290893,0.574126,-2.912783,-3.676105,-1.095119,-1.8210095,1.8945155,3.26527,1.3112325,12.3305,-0.601046,7.61187,5.607125,0.625278,-0.56189,-3.4497865,-2.5066955,2.188503,9.70268,2.7316165,-2.14783,-0.1270685,-1.750725,0.71009,44.51,-0.75669375,-1.336295,56.38,3.6042615,58.29,57.035,3.86462,8.330125
A01_28,3.397691,-4.7790025,-3.808265,2.467025,2.975305,5.7905605,5.735258,16.9581,4.71647,4.571283,2.76481,-3.067557,4.3183415,5.823774,3.551355,1.1950785,6.8556,6.1496565,13.381115,-2.738655,6.372333,-0.36779,2.062153,3.7878545,6.180054,2.1046155,3.4933025,5.486035,1.217456,5.3896,1.500255,46.565,0.69570145,-0.38223,60.815,1.6680495,63.19,64.59,0.96174,1.704625
A01_29,2.862107,9.43804,12.83304,13.17637,2.263895,-5.36675,1.3891695,14.4194895,-0.8811695,1.943846,8.62083,-2.4693475,2.4846275,2.557247,-2.317275,-0.666735,9.97735,2.0670625,4.46458,2.35063,3.8679315,-4.157285,3.9147185,2.0588395,2.53946,10.38514,-0.334182,5.468035,-2.0654865,3.48058,-0.854225,42.675,0.69709455,1.28724,59.725,3.7092595,61.86,61.94,5.95466,20.378415
A01_30,0.280682,-6.7543945,-0.59708,0.341835,4.91219,6.179855,5.366726,-7.877008,1.9863145,4.511426,1.1703,-0.006382,5.8311335,5.5072145,0.62741,0.591196,-19.72785,5.09989,5.862305,7.772695,5.3915665,-4.434055,6.4936045,-0.554322,4.772847,-0.319153,-3.3702265,5.36823,0.3204645,-3.198495,0.16745,44.845,0.3065411,-1.088135,62.34,1.0870975,64.105,64.4,10.53911,16.34467
A01_31,-2.8778985,-8.980555,4.99225,-10.575935,-0.14437,0.313728,-3.1957485,-0.0671120000000001,-1.615826,-1.7233765,0.505745,0.311427,-0.9775355,-0.955757,-2.090685,-3.2252135,0.77935,-0.964041,0.84799,3.722285,-1.831563,0.846035,2.7112265,4.02359,-1.7722505,-3.265377,-2.09696,1.24638,-3.1296845,0.4195,-2.27177,42.33,-0.37685025,-0.428455,56.955,-0.385231,57.505,58.45,1.66181,12.227705
A01_32,-0.964644,14.1949,8.951015,9.88006,-5.88291,-2.422893,-3.097797,6.322553,0.7130085,-3.43594,1.15515,1.627219,-3.899622,-0.836488,1.0852,1.147039,7.9702,-3.1099985,2.626205,-9.78182,-2.526363,1.45614,-0.566683,-0.7729465,-0.221434,5.2390225,9.149563,-3.652445,-0.27398,-3.291505,0.056715,41.25,0.60755695,-1.2407,52.935,5.0014375,54.215,57.47,-6.091755,7.30698
A01_33,5.2080315,-22.514768,-1.28994,-16.593325,7.786715,10.0485915,8.3982985,11.2756705,7.4165395,6.6283335,5.05592,-0.853277,10.007195,4.8189215,6.13428,6.1419705,-5.218,8.8742135,17.28138,-10.145765,8.8633705,-5.92695,-10.714121,-2.3399505,7.374866,6.869559,2.4103095,10.34123,4.023038,-0.830075,3.14299,46.76,1.24720405,0.837555,64.81,7.2546345,66.15,68.125,14.14311,-4.90503
A01_34,0.920097,-14.385273,-0.661035,3.82596,-1.276905,0.94484,0.569753,10.5439345,2.988045,-1.489113,3.86979,2.172245,-2.148531,-2.9750935,1.90314,2.468402,-0.8707,-0.8542585,0.562825,-10.189425,-1.607732,0.88585,8.279404,-0.1438845,2.237936,-12.216729,7.283095,-3.047815,1.0855165,-0.678735,0.8944,42.65,1.65423215,0.004935,53.025,3.2798605,57.34,60.4,-4.11925,-1.99144
A01_35,-1.6271505,15.461506,-3.066565,12.10056,-3.877645,2.1434875,-3.6965325,-4.8713625,-0.9974525,-0.9139315,9.200495,-4.22027,-0.6416965,-2.6615095,1.973305,-0.620948,18.81125,0.3839625,-13.60785,4.241145,0.722725,2.5635,-0.3512055,-4.657263,1.244565,-3.5136135,5.3083935,-1.95707,-1.062198,-0.954995,-0.592355,41.51,0.13783615,0.20425,55.425,-3.1639825,56.59,55.75,5.23061,-14.98331
A01_36,3.5810735,-11.5553505,8.87129,2.68495,2.108935,1.2644765,2.6623405,-6.673941,-0.347296,1.007168,5.310095,-2.074199,-1.2676485,-3.175262,0.684615,0.989098,2.0399,0.467123,1.20659,-9.918875,-0.0657205000000001,1.022795,-4.842276,-6.5966065,-2.6370255,-7.6365145,-1.917597,-0.0979400000000001,0.047232,0.27471,0.08371,42.88,0.95146095,1.45675,57.15,-3.855804,61.275,62.09,-2.57597,-5.77525
A01_37,6.817961,-3.9177385,-4.68223,-1.768195,5.70656,6.115132,6.9661955,15.022234,1.201686,5.28876,2.572555,-5.5957505,6.962829,2.98749,3.852065,4.193499,2.0971,5.8682675,-10.56992,7.560015,6.7430095,0.332415,0.5196435,-6.306261,2.487682,-4.6373795,-4.7198445,7.47893,3.066767,5.093195,2.61701,46.86,-1.1802001,-0.83523,65,0.9729395,66.215,66.32,11.555455,-7.442725
A01_38,-2.003841,16.961257,2.90914,-13.505135,0.42116,2.781938,-3.9675995,-17.053814,1.834832,0.651468,-12.40416,-1.656782,1.628048,2.4797345,1.17179,1.39909,1.8425,1.2489235,5.7447,0.14069,0.9347295,-0.22416,2.1328815,5.3626275,1.171374,9.4830085,0.587185,0.618115,0.0620390000000001,-1.000105,1.26841,42.26,0.95251045,-0.118275,56.73,3.836939,60.015,58.905,-2.19022,-7.82581
A01_39,-0.03922265,-8.163416,0.134315,5.69627,-2.61304,-0.7263295,-0.3301185,-15.709372,1.5259255,-1.6571865,-1.75341,1.8938745,-2.972687,0.612962,0.22355,0.001758,-6.65005,-0.8424555,-8.878635,1.799565,-0.348035,3.678495,-13.0814655,3.772355,1.2081355,1.2468695,2.868726,-2.10338,-1.130227,6.13698,-0.892365,41.385,0.1861587,-0.75355,52.645,4.1597025,58.37,59.28,-6.856045,1.944185
A01_40,-2.155602,13.18511,0.620345,10.756295,-3.276515,0.690578,-2.4518165,10.558249,-0.409703,-2.3403875,4.689795,0.968929,-0.8516105,0.2756665,0.91255,0.5420285,9.46815,-1.3780235,-9.91905,-9.87959,1.835374,-0.761325,5.279927,-2.9358355,2.784013,8.8415195,2.3005175,-1.78791,-1.8779885,2.112,-0.999685,43.69,-0.96557865,-1.47599,55.42,3.924823,55.73,56.71,2.577865,7.68788
A01_41,-2.4405875,12.557962,0.673535,10.136945,-0.01845,-2.631504,0.29104295,6.388643,-2.0638525,-1.1715335,2.919775,2.5852195,-2.1808965,-1.038884,-3.643605,-3.8376685,-6.8449,-1.1568835,-12.986985,-6.375005,-1.381628,-1.83194,-1.618797,-1.42168,0.9532285,-5.556835,-0.2031505,-1.998375,-3.3443295,3.261015,-2.08573,43.625,0.74078745,-0.53699,53.665,2.6388355,57.455,58.835,-4.959305,12.60702
A01_42,-2.3237265,2.3158395,-0.30293,-10.852135,0.09498,0.201679,-1.5638785,6.193798,-0.389973,-1.570796,-8.663605,-2.6821815,-2.7433025,0.4669885,-4.928635,-3.0135635,-6.8083,0.00473500000000004,-10.537205,3.30477,-0.838392,-1.83628,0.3875675,-1.435574,0.94701,-3.6278245,1.578307,-0.22409,-2.8689125,0.050175,-1.693735,40.175,0.9798502,0.33394,53.85,-1.2604565,57.45,58.81,-4.991715,-9.75052
A01_43,4.96453,-14.828071,-10.3133,-10.10115,1.67247,-0.447088,4.849948,-2.928646,3.503039,1.1359525,-5.17978,1.1054105,0.0249565,1.775141,0.28318,3.5012275,-1.01875,2.7422095,7.841585,-9.976915,0.493254,-3.867475,0.22189,2.8759765,3.1078285,11.4895805,4.1792115,1.884,0.980689,10.463405,0.855495,42.415,1.28708645,0.51931,55.495,5.4130525,60.74,63.125,-6.7837,-15.737315
A01_44,-2.1119405,9.6923655,-10.33488,-0.833845,0.74201,1.0544985,-2.7396345,-10.8611315,-1.2106975,0.376938,-3.32856,-0.919804,0.30936,0.1061375,-2.78727,-2.0575995,16.55545,-0.7430745,-12.915585,-9.48912,-0.1676885,3.37704,6.0072065,-4.6279255,0.526422,1.173792,-1.344715,1.024705,-3.117355,-4.92728,-1.50545,42.715,0.19063865,0.91044,56.6,-2.0356925,58.29,58.22,4.089705,-1.54641
A01_45,-11.943645,-7.724265,1.900155,31.68764,-4.804495,-6.177706,-14.0163295,0.329062,-0.036143,-2.850352,4.273155,-4.4420975,-1.508034,0.9673935,2.51344,0.271789,16.751,-2.890277,4.640365,-7.715025,0.3828585,-1.2025,6.9964835,2.302902,4.385617,12.633968,2.516832,-1.80554,-1.268815,-1.956395,-0.316975,43.56,0.46678125,-1.13027,52.35,-2.2919025,53.015,51.06,4.3825,-10.660305
A01_46,-4.019864,-3.8114935,1.93127,-2.488335,-3.521565,-3.636822,-4.8919935,4.990815,-0.5789935,-2.721853,-2.106585,1.482178,-2.6325465,-1.0177265,-2.445825,-1.115231,-2.9442,-3.766548,-1.59206,8.94651,-3.511451,-2.747975,-6.430782,-0.7711725,0.077363,-0.698708,-3.1791435,-2.55463,-1.7410425,-5.792675,-1.20064,41.185,-0.74048485,0.85767,53.245,-3.619986,55.515,56.66,-2.88698,0.223825
A01_47,2.3475165,-3.369432,6.160015,-7.680495,1.2252,-0.524093,1.6714525,3.7549215,0.757073,0.6954135,2.637365,0.654774,-0.201073,-1.3055075,-1.773445,-1.351977,11.0453,-0.4714325,1.82433,-7.454355,0.2753765,-1.29339,4.676556,-0.99864,1.0538235,-5.512654,2.8980095,-0.797835,-0.543598,-2.9224,-0.165525,43.5,0.4448184,0.287855,53.815,-1.3488845,59.58,62.22,-5.43817,9.787605
