X6.azauracil.50ug.mL.3	Cadmium_Chloride.75uM.2	Caffeine.15mM.2	Cobalt_Chloride.2mM.2	Congo_Red.75ug.mL.3	Copper_Sulfate..1	Diamide.1.5mM.3	EGTA.5mM.3	EtOH..1	EtOH_Glucose..1	Fluconazole.100uM.2	Formamide.2..2	Fructose..1	Galactose..1	Glycerol..1	Lactate..1	Lithium_Chloride.100mM.2	Magnesium_Chloride..1	Maltose..1	Manganese_Sulfate..1	Mannose..1	Methotrexate.0.4mM.2	Neomycin.5mg.mL.2	Paraquat.0.75mM.3	Raffinose..1	SDS.0.075..3	Sorbitol.1.5M.2	Sucrose..1	Trehalose..1	Tunicamycin.3uM.3	Xylose..1	YNB..1	YNB.ph3.1	YNB.ph8.1	YPD..1	YPD.15.1	YPD..2	YPD..3	YPD.37.1	Zeocin.25ug.mL.3
2.85373680596041	2.70536719595496	2.20609117528791	2.60464117587191	3.2120423513198	3.01785897184054	2.34999298610071	3.39152134334699	3.02253274799416	2.40332992166803	3.84169849204313	2.93287225828589	2.77766959889341	1.71451456081458	3.30483944610489	2.50566315981311	2.6161160564438	2.38762406528097	3.01061999138178	2.78140025333709	2.12010508823808	2.72734964532954	1.99871279500475	2.38982965230987	3.28302223987543	2.48559339866751	1.94699050703082	2.93653091592412	2.22321106657462	4.01832149876877	2.47916055439863	2.40022080976713	2.29345170520582	1.95799550821759	2.5867620407072	2.96237266544882	2.22526847752136	2.85000150522643	2.23025472546022	2.26218275072222
2.40174284047542	4.81511403467011	2.76105661184058	2.4681946630396	2.18620857115243	2.20847253675518	1.44758951308126	3.83523061832786	2.62503876630865	2.01306958797932	2.27887601545105	2.81588180319503	2.29475593473776	3.12875835002202	2.24300819440666	3.87045874450967	2.82123596135046	2.31610201267005	2.48525570356501	2.06725509787903	2.17048718716692	2.91522864633491	4.3957253133153	2.54676257105009	2.64675117756092	2.81968260301967	2.57530571702939	1.97345752633312	2.62335713016033	4.29584303548008	2.54931564861639	3.09131264296069	3.00045901285545	2.04545005069339	2.21234365100026	2.71451505956144	1.98891005480264	1.97478894832645	2.73740160693023	3.26453539292337
2.57838712832193	2.61111541377789	3.47376001183885	3.49907365341954	2.2275573413466	1.98906240607472	2.93825906783812	2.79432231908238	2.49963987613931	2.28574238908836	2.61207739885201	2.84711043541357	1.92910763847425	2.32734280077154	2.59700079304938	2.52528751638734	3.56806166722831	2.10782277746804	2.54453931377005	2.94526821757033	1.98754958494139	2.34424119960986	2.66444171055268	3.13490481370839	3.08707606444039	2.31310417907742	3.07800575556534	2.21282687424381	2.02521818626675	1.64544146222321	2.16697543851514	3.51240752387774	2.12898757803243	3.20957121287773	1.73362388878917	2.29640641062363	2.05982094931674	1.95027278282764	2.63746548900589	3.32456971583201
1.84332274100104	2.45556848831954	1.76513915385591	2.47067031092331	2.31430855648027	1.9502089332609	2.46772917283887	2.54066371410311	2.35358319910795	2.14352081570603	3.06276744080016	2.22233511948968	2.18018947050268	3.11800397653761	2.42848902471479	2.36306171631258	2.8257499281647	2.17953733386861	2.86987309598269	2.20802985341007	2.00863275163946	2.12441132650394	3.89162491941093	3.17492551576758	1.92526851530756	3.41941672174511	2.87169579788654	2.1926152249837	1.89743784216968	2.92349498621345	1.7867234861821	2.33562616111714	2.75162545769556	2.43497162200473	1.83071389395845	2.00350416421381	2.15280901742972	2.17431131394529	2.42470286272725	2.04401741666722
2.30335572855693	3.32331180234606	3.0948477409657	3.95856970465539	2.44869787499049	2.75853504296364	2.5077200847432	2.29242409551953	1.83086483153766	2.05396519319808	2.09887726471559	2.27462018969975	2.12691148966944	2.50237680121057	2.08136642917164	3.58486344168853	3.84524884013686	2.13419338348577	2.76232194689227	3.58922039816762	2.05925788959344	2.02749839704978	1.84452965033587	2.81252005609588	2.23983510731093	2.38013988861402	2.02481701069434	2.18303379228458	2.00708540557477	2.22778515624596	1.97495167047229	2.66658027026097	2.08865879219134	3.05576131288346	2.07983276262068	2.98550150870969	2.37661823457022	2.91329866845306	2.49350783773925	3.29401064696497
3.42524711578853	2.59190002863364	2.93263695436706	2.91561261194797	2.14409804292427	2.74138716440749	2.50257163911211	2.26160769187881	2.95500579684278	2.57518919517406	3.38391926492853	2.05474657781101	2.80739141130426	2.05695305384888	3.41579999435258	3.22088497914303	3.585649414899	2.66929470252992	2.21390719948028	2.13186939831622	2.50092673514378	3.97560937501062	2.78986006448625	2.47681345038392	2.43370052783163	2.42064664841421	2.76843304664167	2.60298023289349	3.1145088147204	2.40236470070341	3.52716869046998	2.47421620969294	3.0607964765837	2.15295605060896	2.2270794301713	3.89367443809691	2.69218025855707	2.42011606686042	3.300154160023	2.91283062915086
3.17073254681755	2.66523095810694	2.83686868817427	3.50400160151121	4.89316897391355	3.51323541066898	4.10413805751633	2.87538809233139	3.22177691737375	2.96716195607247	2.39402866706943	2.4696372496736	3.47001778647252	2.27435183287709	4.57335106225163	2.82701406819949	3.12116653718107	2.5777841172802	2.67456643800854	2.80185783137728	2.49908407774859	2.2089986980168	3.34478306538265	3.54548458602306	5.60154799510244	2.15688956228027	4.28925033594969	3.16070919176171	2.63104390924209	2.83476185359171	3.05081993414682	4.64828773468617	1.70323472631425	2.39589259050349	3.29858370193232	2.50364681757662	2.96321685759454	3.93847570740974	3.76248074458524	2.28096969570523
1.98853658150555	1.86639789450302	2.45563685834387	2.30533365168346	2.74348428590763	2.08531500778023	2.73309097605929	3.1675759314568	4.32803598589728	2.86836531121333	2.68601713813351	3.22533624286195	2.58199089700975	3.01533470770417	3.48806062432816	2.82915443638363	3.8653571123063	3.40581059374501	2.27339733359393	2.03452135399419	3.45769018370322	3.32522931622944	2.03978401125819	3.13587432460697	3.40854310973417	3.01661455987357	2.50563055688303	2.70796746892576	3.82359408272861	2.36792701852689	3.95775483884974	3.89799330175331	2.28186102844475	3.94168569140522	3.06493823395192	2.54749011241037	2.95045058856523	3.05385438403714	2.38679645996904	2.70265396536532
2.13254422139577	2.24595715246688	2.63153760774259	2.35397118250362	2.10462154097828	2.37392489852498	2.75663767572774	2.33505067740047	2.68180452132581	2.4878524782876	2.14733318817281	2.41275814840758	1.98937106038717	2.24420207016752	2.0531793918183	1.93446021286023	2.99958985914602	2.572464240126	3.82642806222677	2.30674477467765	2.16428894345004	2.31716365533923	2.38715604872334	2.77871158145578	2.89927147957659	2.14483225994585	2.9932648375538	2.38109448096955	2.71888861765327	2.02442918117482	2.51148845477635	2.76550418719247	3.05044172927974	2.17171435931066	2.71448001709641	2.87398398202511	2.24292641891759	2.2017893431612	2.94821136674407	3.98277213027192
2.50060329262704	2.27173496682169	1.5388806933159	3.19497496525106	2.31705340017555	2.80937652738378	3.45782265507136	2.55858852927037	2.01947676757947	2.48549975632586	5.5605779639617	1.85513316166624	2.85663531050742	2.71621895661676	2.81688168376464	2.8463665117436	3.90827090807658	2.95812924479258	2.68575977780846	2.49304686159785	2.65040455658602	2.21552639914553	2.03531707288947	3.42898842646226	2.39084887938387	2.86450975412422	3.09585978682896	2.30889378203671	2.31213948017896	2.53220293920682	1.93912700283703	2.34354963777752	3.09432344265101	2.80156107886502	2.23878930003064	2.70770169993133	2.16082590872815	2.49519935708082	2.37033134463444	2.64942346423045
