id,X6.azauracil.50ug.mL.3,Cadmium_Chloride.75uM.2,Caffeine.15mM.2,Cobalt_Chloride.2mM.2,Congo_Red.75ug.mL.3,Copper_Sulfate..1,Diamide.1.5mM.3,EGTA.5mM.3,EtOH..1,EtOH_Glucose..1,Fluconazole.100uM.2,Formamide.2..2,Fructose..1,Galactose..1,Glycerol..1,Lactate..1,Lithium_Chloride.100mM.2,Magnesium_Chloride..1,Maltose..1,Manganese_Sulfate..1,Mannose..1,Methotrexate.0.4mM.2,Neomycin.5mg.mL.2,Paraquat.0.75mM.3,Raffinose..1,SDS.0.075..3,Sorbitol.1.5M.2,Sucrose..1,Trehalose..1,Tunicamycin.3uM.3,Xylose..1,YNB..1,YNB.ph3.1,YNB.ph8.1,YPD..1,YPD.15.1,YPD..2,YPD..3,YPD.37.1,Zeocin.25ug.mL.3
375_R1_52,3.559848,2.103384,0.073855,-16.659155,5.308615,5.29403,7.85427,-15.513285,-1.74975,3.456025,-14.25931,-3.0442405,5.765315,14.543,0.619955,-1.3040995,-1.047752,0.676085,-8.907035,7.791145,4.761345,-4.09896,-0.2539465,4.12164,1.175125,12.562335,-0.2126185,1.605106,-3.981385,19.9348605,-2.861935,46.3,-0.0810989999999999,-1.0580145,58.36,1.448174,63.03,62.61,1.017155,9.364005
375_R1_53,-1.8676495,8.129104,-10.47442,6.06243,0.747945,-3.73123,3.68272,35.212105,0.896955,-5.7756,-8.026775,4.673772,-2.612127,4.61486,-3.5075725,-1.1626135,3.4118325,-0.4428,-8.16361,-10.8646,-5.81724,2.552815,7.4881855,-3.432245,-4.89857,19.192905,1.6867095,-3.0697835,-0.478156,-1.1842285,-0.45302,44.12,-3.242502,-4.3412265,53.49,-1.299474,53.33,57.295,2.63797,16.060255
375_R1_54,6.003615,6.4908685,22.287515,8.87173,7.096685,9.192135,7.998905,3.849335,3.967485,8.436705,21.86855,-0.6190335,6.9935625,12.436745,3.5113205,1.289109,8.233903,5.998125,-4.068005,8.26114,7.338482,0.03112,1.730565,2.24068,7.37201,15.33345,-1.360175,9.2765745,1.564659,-2.665992,1.484735,44.69,0.9249775,1.5439075,63.355,5.4459565,64.745,64.985,4.15725,26.884335
375_R1_55,-9.8465875,5.214293,-7.188765,-9.736795,-9.49376,-11.114235,-13.723535,-15.15195,-7.174075,-12.14432,-4.643555,-1.3446835,-10.160667,0.577455,-3.829534,-3.779354,-9.606019,-12.84048,-16.04682,-10.14613,-11.303392,-4.58117,4.550912,-6.716225,-6.797595,-2.88579,4.911839,-15.8883585,-5.903119,1.159059,-4.28258,33.1,3.132637,-1.210697,45.625,-14.5196,45.835,46.365,-12.876635,-18.058155
375_R1_56,8.2107145,1.4818075,-11.07788,-6.789855,8.529285,1.54408,3.419215,-4.13991,2.76914,8.423215,-0.27618,-2.4088035,7.6413535,10.602705,5.3848735,3.6270485,-8.9875605,6.4178,16.0273,0.495655,5.726899,-2.25821,-3.2032965,-2.60453,3.560585,9.93656,2.130937,10.3819615,5.5963355,0.4119845,5.00834,29.405,-0.778528,0.214429,61.83,4.891513,64.845,64.57,4.28503,-6.85526
375_R1_57,1.375852,16.520626,7.428015,4.91674,-0.322895,4.642755,0.746445,20.962505,-2.20875,1.161975,5.375655,1.1681955,1.913893,-7.66866,-0.8296055,-1.11425,11.157388,0.747525,13.196865,3.14455,2.448331,6.91,0.341276,2.790825,2.20192,7.774775,4.8512115,1.9161775,0.4540735,14.038598,0.92334,45.27,0.1847685,-0.6314725,57.46,1.3512805,60.375,59.74,3.69904,6.42701
375_R1_58,1.090848,7.317502,-8.439095,-2.261615,-0.796455,5.329175,2.376905,0.07606,3.519255,-0.3657,-11.57742,3.5662055,-0.455468,-3.569585,3.998988,5.935408,-18.575426,1.485575,0.849295,-8.44453,2.9569995,0.94655,-2.184241,12.52599,1.392475,11.53979,1.0057845,2.2870055,5.915836,5.227317,6.15217,44.585,0.387285,-0.119839,56.33,1.385358,59.955,59.66,5.144835,11.805825
375_R1_59,-0.7431035,-5.858521,-9.78919,-3.856095,-1.050205,1.11331,1.22062,-10.423465,-3.93307,-3.999765,-11.462995,3.059786,-1.983869,4.438965,-5.7507675,-4.691597,-13.860797,-2.234515,-0.522425,-10.89236,-3.4637,2.23624,3.082396,5.510785,-6.5636,-10.743065,-0.631164,-4.2244895,-4.9321455,4.420609,-5.212575,42.745,-2.2502535,-2.8948335,54.05,-5.0023865,53.86,58.96,0.34192,-9.76417
375_R1_61,3.9623185,7.740081,-9.29724,-14.310855,6.095625,7.83541,6.60404,16.53942,4.614085,4.830365,-10.1188,1.4052355,4.686598,13.913875,0.2500935,3.4950255,1.569604,5.181855,-1.818565,-6.24806,6.1464855,1.4457,5.775855,0.35745,3.158325,0.147155,-1.4683615,6.5563735,2.105601,-1.737973,1.361735,44.13,1.232091,1.6799525,61.515,1.18003,63.54,63.775,9.649855,-8.40579
375_R1_62,-12.606892,14.844895,7.666395,3.884735,-8.22384,-12.7,-4.704525,-15.61637,-8.707465,-13.313015,4.44298,9.8850835,-6.8082775,-5.30121,-7.035684,-7.377744,0.0122469999999999,-12.23863,-15.3247,-1.501685,-8.989234,1.62084,7.834117,1.314785,-10.12013,-9.69841,-6.191442,-12.369805,-9.5710425,-1.671238,-8.514915,40.63,-3.1180975,-6.149926,44.425,-10.859875,42.41,45.03,-10.70921,-15.319425
375_R1_63,-1.6503385,-3.294963,-10.36978,5.498805,2.607405,6.007975,0.97156,-5.5612,0.728985,-1.558635,0.41167,-1.4130805,2.728297,5.495645,0.3801695,1.9836095,20.1266755,2.5449,6.283305,-9.20207,-0.405019,4.7361,4.875371,-0.234575,1.49726,-5.60728,4.759726,-1.010033,0.816327,1.1484815,0.550385,44.48,-0.8096365,0.6327415,57.3,0.583314,59.095,57.035,-0.052905,-13.73056
375_R1_64,-0.138693,6.4384895,-8.209365,-5.762675,2.615555,1.02448,2.346645,-15.268825,-0.84613,0.466875,-6.569275,3.2694485,-0.6646385,-10.8549,1.312156,-1.585568,-0.2162675,-2.31336,-9.43071,-9.632835,-2.5141225,0.33378,-0.6453235,-5.10177,-0.9659,-26.61765,1.8374555,-1.0957455,-0.60591,-1.28424,-0.25354,39.785,-1.543142,-2.706019,56.345,-7.9107585,54.535,58.905,-4.05183,-2.72496
375_R1_65,6.7459735,-2.8095545,-5.13717,-5.672245,6.436145,7.09245,7.46805,8.479825,5.428695,6.69672,2.9313,-0.40654,5.559324,-3.8739,4.0731195,4.5537245,17.4951635,5.360865,-2.16854,-4.808845,7.0601425,-0.64993,6.857404,2.23716,3.98807,0.29677,-3.713991,6.3919515,6.0872285,-5.2721725,5.09677,45.085,1.623387,0.8873975,61.085,-0.3313265,65.165,65.37,9.580875,14.91261
375_R1_66,-8.445337,7.499223,1.101485,5.347615,-11.67493,-9.105225,-10.433985,13.29694,-10.26395,-13.24944,-2.44062,-1.852312,-11.0288545,-4.959235,-8.366043,-6.7169635,5.6655025,-10.804275,-4.46323,-8.92371,-12.429287,1.43922,18.504779,-5.611865,-6.15874,3.374705,2.033257,-12.0184505,-9.292505,-4.0310945,-8.704005,34.1,3.2908185,-1.6248745,47.315,-11.669968,44.12,44.86,-10.36171,-18.15404
375_R1_67,-2.151494,4.929692,5.428765,-7.35842,-5.34088,3.911265,-5.03531,-4.682265,1.182005,-3.16341,0.01124,0.3947385,0.261362,-2.798255,2.727796,1.928527,16.356762,0.86662,12.222605,-7.16454,-0.632675,1.573325,0.134652,-1.101735,5.912025,-27.75925,5.738379,-3.2916505,1.3746695,-9.1163835,2.087185,44.705,1.3219275,-0.6371365,53.38,1.761945,55.79,55.24,1.47444,1.31403
375_R1_68,1.830504,-12.746055,2.63323,-9.50156,-2.58567,-22.149065,-7.624015,20.126575,-0.133325,3.017835,4.391565,-3.5205885,0.722769,5.08062,-2.1144835,-2.071123,5.172587,2.649985,-5.740975,-7.249375,0.975105,-5.378625,1.0652965,-3.060875,-2.22993,-5.57417,3.2204575,-1.7978495,-2.125929,-4.0749425,-0.52891,28.775,-0.271243,-0.0651455,53.86,2.0054435,55.475,54.7,-9.340735,-3.060545
375_R1_69,4.0730605,-5.8370715,0.618685,-1.68009,2.90479,9.26289,2.76263,9.89104,3.04202,4.690605,10.927525,3.019845,4.441134,-3.714285,0.54399,1.4442465,-1.700103,4.595885,-1.884685,-10.251085,5.2478815,6.589445,8.139487,3.024395,5.731895,5.05084,-0.2997295,7.0755705,2.3787915,8.0097475,1.889285,45.82,0.3580645,-0.053406,61.04,3.1941625,61.225,61.59,6.860395,18.300125
375_R1_70,-6.586659,-4.3650415,0.863835,-0.0205649999999999,-8.03492,-7.091635,-8.375355,-14.849255,-10.546275,-9.89714,-7.396395,1.7464245,-7.941991,-14.408925,-11.171778,-6.9173735,11.276406,-10.25586,-0.46367,-3.974595,-7.82876,1.506235,-5.009223,-6.484385,-6.117785,-14.79478,-0.6628245,-9.520406,-8.6691915,-5.0313125,-8.96382,35.23,2.4780155,-0.7288,46.47,-10.5532925,48.28,48.4,-12.90714,-16.817565
