PS	PH	EH	GYrad
5.93867725022677	6.23986238245112	6.11297088437338	5.65007390944354
4.95668276462672	6.67512144952257	6.37716466009826	6.04804086541951
6.21326035827155	5.37147862801146	5.47547814075282	7.15454605460219
5.62199921009575	7.01059103475934	7.71903537911414	5.71000370108649
5.56576260483861	7.19851863806275	6.43589705230405	6.17377134937741
4.85585483413442	7.77474955677212	5.63577803263573	6.7132331938815
4.96443435482121	5.38908045163631	5.86900874501535	5.64222748064508
5.13316054606042	5.92843062421848	5.97679032041984	5.46779718161122
5.51434204010057	6.02411360816239	6.15454968765916	5.87984654143214
6.28273126114337	7.02144765512679	5.85396779667497	5.69626894509528
5.22163985272659	5.5280608427423	5.79061044674071	5.60112153316263
5.75934550380961	5.73531463847555	6.3205997650115	7.1538721287645
5.41620220618635	6.47788659665823	5.75439676485606	5.55122083394663
6.5983165543552	4.94659565616086	5.51040174945243	4.90813820262587
4.64253194210257	6.53857403320538	6.17912985153323	5.79659426372514
7.7357101257462	5.66413714605301	6.34554500294761	6.13012703373923
7.55260897433948	5.68292127421237	5.74501332251415	7.35001006045035
5.37739007449979	5.78684948082815	6.27291780092165	5.07525954485672
7.14216908876192	6.47810608931293	6.49955281101945	5.26693924137695
5.52334746350846	5.39244620887202	6.04135689173274	5.55168182023841
5.61508914700051	5.3690589651841	5.68711739784416	6.33324061715749
6.05089569933933	6.43019273852135	6.04250750640521	5.18815934784161
5.8332379016355	5.49684753931205	6.35516092956463	5.49896873133794
7.72141651992961	5.14678867782461	5.42318467725356	5.32021105326083
5.79045088586294	8.66315278175238	6.66438785377201	5.33247656724818
5.73219002314334	6.27269844614619	7.93402621091407	5.25445294418317
5.40002499057135	5.70554756620374	5.5432863332723	5.65887971417478
6.44813666209777	6.27227882721312	5.66304366777692	6.3761394452846
4.67823628266925	5.33253598987654	6.85775838623068	6.69735079326936
4.87486596753856	5.92356483263847	5.63461393582416	5.95966191355108
5.2387628221684	6.54269564292349	8.17143317673123	5.63745320091703
6.10860254453584	6.22900123895523	5.23444174966044	5.87560514535934
7.70477771347407	5.51527997878312	5.43452643966401	8.44821643037147
5.71197085929804	6.64252567869532	6.98005053535696	5.58887037869517
6.15124527683654	5.27945546967006	6.26564912858093	6.18431667369947
4.71451426404278	7.06387020834178	9.17562679878565	6.58015597999357
6.4517912054489	5.22535346977713	5.49345828055402	5.65102925257404
5.35749593069041	5.52918814154638	6.44721040576533	6.22184195127655
5.23878113376767	5.03251362440464	6.99410976755533	6.57756466522553
6.83668680249489	6.32350909485657	6.39070374110568	5.26561808533405
5.8502654762101	5.61996596719201	5.10930296318388	6.93118329194157
5.9675237905869	5.50604171547422	5.68972507670257	6.29936235451117
5.14152579830143	6.26578527575713	6.3295864196032	5.18337784210534
8.17453482217759	6.68139639006366	6.69985430159795	6.03821657310694
5.84049310932833	5.6728840994575	6.47054989501971	6.75785786563355
5.80149219982037	5.76131387736952	5.14369897088579	8.2267424051651
5.4761411068821	7.03935741731236	7.78614847375449	6.01196122530898
6.68805286396248	6.48275811367985	5.89079666366569	9.73831048585789
5.38568957862742	5.77812251678412	7.41869567952837	5.28644392415097
5.05507635752774	5.74348954831161	5.5020649112502	6.98478263440694
6.21551721808762	5.19622672696757	6.37384312768837	5.3335749395101
6.29099193148127	6.27316122587521	5.73827365587368	4.98558919929764
5.07721662042857	5.87465791863518	5.57044153094035	6.71456371807363
5.63205476631899	6.62265377876692	5.98413253240994	6.80740463013968
5.38418353007638	6.35285318074379	5.79400577561167	5.57549799064853
5.17286590464905	5.11743643678433	5.21893937451252	5.87388054064472
6.97514691498112	4.99400803650011	5.6101720621013	6.8449749629123
5.36174168226832	6.2403719843116	6.0957121988251	5.36372695808745
9.13333711328922	7.69912362107838	7.68276912535337	6.33489606072001
6.02163498472153	7.57283392027213	6.81761527337106	6.22079682488819
5.26433900717025	5.38689922891908	4.05621760942648	5.28324542273967
5.71321969303864	6.59766179054685	6.56980073235682	5.33074650366293
6.09860685986508	5.52764755397745	8.04331479260177	6.6230536136954
6.35872486644499	5.08719823054315	6.13988354888285	6.95851605446168
5.82172389160032	5.1791184017331	5.46579685070856	5.83063600850681
5.60197262900087	6.00981394142764	5.77688030048709	6.70959139068899
5.66485016631526	5.54961983492755	6.41061541960725	5.18629075194011
