sample	ind_lod	fitted	resid
1_1	0.0718772156139818	173.18911299708	6.64938700292026
1_3	-0.0313490634431445	176.095813413147	-15.5072134131466
1_15	0.189294011094025	148.273599608231	-12.792499608231
1_23	0.0988232578269021	177.764403730786	4.78399626921424
1_25	0.0321933133074974	167.665070510553	38.7539294894472
1_30	0.036123760942018	170.281997312443	-0.435397312443456
1_31	0.210209397860208	177.772988342675	26.7914116573245
1_32	0.0199876056435002	159.683988563809	6.1626114361913
1_39	-0.061962356344617	171.592794823969	-25.0202948239691
1_44	0.0253062119785435	165.632918457061	18.9072815429386
1_45	0.0421735723414472	167.665070510553	28.9476294894472
1_47	0.264784766490255	148.273599608231	-24.354399608231
1_66	0.012016447266658	173.188885106216	-8.14068510621615
1_80	0.0738545341961513	177.772988344846	0.598011655154437
1_89	0.0258750506290456	149.553574551469	7.88992544853136
1_94	0.162804280695461	148.273599608231	-9.04539960823101
2_6	-0.0941762805732892	148.273599608218	21.9360003917816
2_11	0.059981078114839	160.564821074159	-19.6133210741587
2_14	0.306588334123453	149.553574551471	-37.4730745514708
2_15	0.0629322209267305	160.54447915799	-29.8915791579905
2_28	-0.0919908087570906	173.186191800737	-27.8958918007365
2_46	0.0164559093996182	165.632929258105	-14.8428292581048
2_54	-0.138617142077209	173.187828360475	-35.3816283604747
2_59	0.20074777138181	149.803039033892	-18.1364390338918
2_61	-0.31369872584181	176.096027378151	-51.9187273781513
2_62	0.151264984676656	149.553574553756	-9.59387455375574
2_67	0.052775391053778	160.543656325152	-45.5437563251516
2_68	0.0897536336336424	173.189170721623	12.0070292783774
2_71	-0.377557986370264	148.273599608218	49.3068003917816
2_73	-0.0855031785619545	170.281997312432	-32.6127973124321
2_76	0.0558541140358833	170.281646823413	7.96815317658741
3_11	-0.0441989553472709	170.406855949786	-23.3828559497856
3_12	-0.0320797957528957	170.344934022308	-20.619434022308
3_16	0.34497285033016	148.273599863699	-38.6284998636991
3_30	0.198297666226626	149.553574868899	-17.0698748688991
3_36	-0.0918184555280092	176.096815364159	-24.4197153641587
3_40	0.104912134212118	176.096995710999	8.76570428900121
3_43	-0.0370812907025718	170.34429833276	-21.82829833276
3_44	0.242927213910487	148.273599863699	-20.8542998636991
3_46	0.279387037903463	148.273599863697	-26.773599863697
3_53	-0.156944562040666	176.096678511332	-33.2098785113317
3_55	-0.237526644773954	176.096680291818	-43.1934802918175
3_56	-0.00247106823961262	165.969403740008	-23.5501037400076
3_71	0.156790391084753	149.553574868899	-10.4406748688991
3_82	0.0532004842942864	177.772988341184	-2.70848834118362
3_84	-0.0658943063367665	167.665071416055	-36.7295714160545
4_1	0.0311137370779158	165.63371126181	2.81768873818962
4_11	0.0248100714413084	173.188034540977	-5.27703454097684
4_14	0.0583638696262902	160.566482488899	-39.3891824888994
4_22	-0.050018669046396	170.281647175688	-24.9753471756879
4_32	0.0362302609861991	160.564821074154	-0.984421074154142
4_33	0.139337966210068	177.772983803282	12.0334161967179
4_35	0.0361602637342186	167.665070442589	3.27012955741071
4_36	0.0264908617456497	148.273599608231	8.39300039176899
4_50	0.233607846027175	148.273733194264	-19.4029331942644
4_55	-0.0686575931250635	165.63371126181	-47.5048112618104
4_58	-0.14651945136245	160.564821074154	48.6365789258459
4_60	0.0232978494746142	173.18624847282	-5.62184847281981
4_61	0.252804732102825	149.553574553752	-26.6503745537515
4_67	0.0598804643184717	160.564821074017	-19.451921074017
4_68	-0.103637439410743	167.665070442589	84.4154295574107
5_3	-0.262112246271896	160.564820899956	67.5800791000443
5_11	0.000461261014324884	160.564821074154	13.6284789258459
5_12	-0.064175609189004	167.694008612903	-36.1777086129031
5_13	0.208605238635841	176.094706808254	36.1229931917458
5_14	0.314444874441132	148.273599608231	-32.886599608231
5_17	0.0361761419277544	149.553574553752	6.55932544624849
5_18	-0.0209236266142243	165.63371126181	-32.7629112618104
5_25	-0.0126128426959954	176.096027333506	-12.5639273335055
5_26	0.0456215271662785	170.281998003396	3.34680199660426
5_29	0.0718774238283356	173.189170394709	6.64932960529134
5_34	0.0579439804198878	160.56476031852	-16.7746603185199
5_41	-0.109583965111378	176.09506068082	-26.8936606808199
5_42	0.000105771544383543	165.633711261811	-24.0370112618107
5_47	0.0242934888147103	165.633711261813	-8.45641126181275
5_66	0.123006862518576	177.772988344847	9.02531165515319
6_4	0.0421843114295752	167.665070510553	28.9316294894472
6_7	0.172876552841849	177.772988344846	18.6219116551544
6_9	0.078076061334006	170.281782639351	22.3633173606495
6_11	-0.10176224726949	177.772988344846	-24.4424883448456
6_19	-0.0643035573095735	176.095677212497	-20.4668772124975
6_22	-0.18532160094655	149.980050603858	32.6813493961424
6_24	0.329745459314254	149.553574553756	-42.7335745537557
6_31	-0.0138535250363023	160.564821074154	18.2092789258459
6_33	0.0619661794420815	177.761152616907	-1.30975261690671
6_35	0.0170316863090414	165.63371126181	25.9466887381896
6_36	-0.0384367532889406	167.665070442589	-29.3103704425893
