parental	fit1.coef	fit1.SE	blup.coef	blup.SE
AA	5.321587835201	4.11547357687259	5.20455674522548	3.82647379255753
BB	11.520438560513	3.81539522280238	10.610162051839	3.57233554296108
CC	2.89691426090801	4.35368943729972	2.68723059693072	4.03004336967275
DD	2.30317433163333	84.7625024742903	0.0727317874735548	10.5772402613656
EE	-4.20333618875068	3.75934839345864	-3.53999549444712	3.54754092946828
FF	13.004832664559	3.14381760745501	12.2006649111908	3.00768472982171
GG	0.865552690667641	3.77585365227757	0.987313869568277	3.55724332328831
HH	-16.4945692111373	3.07562432152968	-15.0079711120417	2.95456503084098
II	-15.214594943594	3.89427967629455	-13.2146933557342	3.65669060397463
intercept	164.768159087398	28.4761675018657	164.525435186923	1.24437314933758
