# Phenotypes for Maize MAGIC from Dell'Acqua et al (2015) doi:10.1186/s13059-015-0716-z,
# nrow 529,
# ncol 2,
Line,PH
28_23,171.8385
28_30,196.0966
28_31,170.8277
28_33,149.2014
28_39,155.1447
28_40,107.95
28_41,122.024
28_42,182.5376
28_43,174.6209
28_44,134.9192
28_50,161.9838
28_6,170.5079
29_1,108.31
29_12,184.1129
29_17,149.1773
29_2,117.6611
29_29,142.7284
29_30,120.7095
29_35,212.2579
29_37,208.1449
29_39,169.3223
29_4,109.4
29_49,153.7581
29_6,157.5752
29_7,108.6
29_8,153.3707
29_9,185.9113
3_11,147.024
3_12,149.7255
3_16,109.6451
3_30,132.4837
3_36,151.6771
3_40,184.8627
3_43,148.516
3_44,127.4193
3_46,121.5
3_53,142.8868
3_55,132.9032
3_56,142.4193
3_71,139.1129
3_82,175.0645
3_84,130.9355
30_11,218.0322
30_12,197.4837
30_13,190.4677
30_16,161.1129
30_18,162.1773
30_22,159.8466
30_23,164.6209
30_24,174.1933
30_25,153.629
30_27,179.1936
30_28,151.3788
30_4,147.5804
30_6,162.4595
30_7,206.3386
30_8,106.8
31_1,179.0805
31_10,162.6611
31_12,132.0159
31_15,205.9675
31_16,148.9192
31_17,181.1933
31_18,210.9515
31_21,106.37
31_26,154.2419
31_28,160.3978
31_30,174.1936
31_31,228.1289
31_4,146.6637
31_5,151.5804
31_6,122.4435
32_11,152.419
32_18,172.3736
32_2,165.2903
32_25,198.1129
32_3,144.7418
32_31,153.9355
32_33,154.8466
32_37,191.8385
32_38,180.2096
32_39,141.3547
32_40,119.4353
32_41,152.6611
32_42,199.9675
32_5,222.2256
32_9,133.9515
33_11,155.1476
33_12,175.2282
33_13,113.5323
33_18,136.7823
33_19,93.83
33_20,222.0642
33_23,158.5082
33_30,169.3547
33_33,164.6451
33_34,154.8627
33_43,201.5964
33_44,193.8708
33_47,217.024
33_5,182.2818
33_7,182.2579
34_10,186.2096
34_18,164.1773
34_22,137.6692
34_23,152.4677
34_26,173.8548
34_31,118.1289
34_33,167.4595
34_36,199.2579
34_39,138.5321
34_4,182.8708
34_52,142.7095
34_54,208.8385
34_72,201.5187
34_75,150.0805
34_76,136.5187
35_13,194.9192
35_15,127.4595
35_22,173.3305
35_25,176.3788
35_26,167.7901
35_31,109.8225
35_33,178.3145
35_35,146.2847
35_41,161.1129
35_43,159.2014
35_49,192.024
35_5,153.4353
35_53,188.1449
35_7,164.6451
35_8,143.0645
4_1,168.4514
4_11,167.911
4_14,121.1773
4_22,145.3063
4_32,159.5804
4_33,189.8064
4_35,170.9352
4_36,156.6666
4_50,128.8708
4_55,118.1289
4_58,209.2014
4_60,167.5644
4_61,122.9032
4_67,141.1129
4_68,252.0805
5_11,174.1933
5_12,131.5163
5_13,212.2177
5_14,115.387
5_17,156.1129
5_18,132.8708
5_25,163.5321
5_26,173.6288
5_29,179.8385
5_3,228.1449
5_34,143.7901
5_41,149.2014
5_42,141.5967
5_47,157.1773
5_66,186.7983
6_11,153.3305
6_19,155.6288
6_22,182.6614
6_24,106.82
6_31,178.7741
6_33,176.4514
6_35,191.5804
6_36,138.3547
6_4,196.5967
6_50,190.7901
6_59,166.177
6_66,167.2338
6_7,196.3949
6_70,167.5804
6_9,192.6451
7_13,128.5082
7_17,173.6934
7_20,179.8868
7_3,112.4435
7_33,143.7339
7_38,137.3386
7_47,175.3063
7_50,76.81
7_53,180.1289
7_54,241.7202
7_55,211.7741
7_6,162.8708
7_65,171.2096
7_69,218.1449
7_70,225.2903
8_11,207.6692
8_2,191.9192
8_37,150.2661
8_38,195.9675
8_43,159.387
8_5,133.8845
8_51,219.8466
8_52,141.3547
8_55,122.9675
8_58,178.7578
8_66,161.1371
8_69,172.024
8_73,165.1612
8_75,208.3707
8_78,216.1129
9_10,190.9515
9_21,186.9838
9_23,205.9515
9_24,172.2579
9_28,186.0966
9_52,156.7741
9_53,140.2661
9_54,201.7741
9_56,228.4514
9_65,196.1773
9_67,169.8466
9_69,236.6611
9_70,187.9032
9_71,150.7336
9_9,167.6451
